phone,longitude,price_level,rating,position,reviews,name,type,latitude,address,description,hours,thumbnail,website
077180 42147,72.83475849999999,2,4.2,1,3130,Bombay Coffee House,Cafe,19.0632296,"Neelkamal Building, 248, Waterfield Road, opposite National College, Khar, Bandra West, Mumbai, Maharashtra 400050, India",,Closed ⋅ Opens 9 AM,https://lh3.googleusercontent.com/gps-cs-s/AC9h4npU8Ksj-uSt75ofZdW6V83VC_kpTqY2Wg1hTRSuL8C_2IIVPNCkMaZA1THPLLfQWG0bNRhPyW-7THGjv2nXjw90aje6lQ2UJytmo3z3QAqWpFJY7W8WX6KwdUPzQDcF_Dw_OCXH=w122-h92-k-no,https://bombaycoffeehouse.com/
081477 38399,72.8079259,0,4.8,2,719,Third Wave Coffee,Cafe,18.963473,"CrossWord Bookstore, Kemps Corner Flyover, Babulnath, Kemps Corner, Tardeo, Mumbai, Maharashtra 400026, India",,Closed ⋅ Opens 10 AM,https://lh3.googleusercontent.com/gps-cs-s/AC9h4no7fx6rI0afb0ok3iaHCOAoGRLQG5HBxbOH8WZHsRF2E2T_5_eALJWhZzjxhM4ntP2-zzG36jiIIV76_Kr0RFhsrzLEEoZNbBkXt8RnF1A3fW62r7shQ7lH-gIMJtmbJ_MzLmke2A=w80-h142-k-no,https://stores.thirdwavecoffeeroasters.com/store-pages/third-wave-coffee-kemps-corner-mumbai/
091366 50277,72.82637989999999,0,4.5,3,717,KCROASTERS By Koinonia,Coffee shop,19.0731907,"6, Chuim Village Rd, Khar, Chuim Village, Danda, Khar West, Mumbai, Maharashtra 400052, India","Cozy spot for coffee & vegan drinks. Organic coffee roasted on site, offered with snacks & vegan drinks in a cozy, wood-lined space.",Closed ⋅ Opens 7 AM,https://lh3.googleusercontent.com/p/AF1QipM2Sk29ZjO73wDvEdnVKT2G52E_9fW_nJATv4bt=w80-h100-k-no,http://kcroasters.com/
080500 03543,72.8137461,0,4.6,4,553,Third Wave Coffee,Cafe,18.9553867,"Plot No 29, Dr N A Purandare Marg Chowpatty Marine Lines, Girgaon, Mumbai, Maharashtra 400007, India",,Closes soon ⋅ 1 AM ⋅ Reopens 7 AM,https://lh3.googleusercontent.com/gps-cs-s/AC9h4nq7vqhMYW5opRIjrHURFNODqJH-PN4LAvilJyaubajFO8EC4mYAa7YqM6eIfErTgD3m_GU-auqQqq24Rp5tuqznbSEppJZMNhKRIh68Rsbgw2FBODzo55hre5mY9NSjUZU0R-lB6A=w80-h106-k-no,https://cafe.thirdwavecoffee.in/coffee-cafe-mumbai-32255/home?utm_source=gmb
099302 03882,72.824591,0,4.5,5,4217,Boojee Cafe,Cafe,19.0606827,"Shop No 6, 29, New Kantwadi Rd, off Perry Cross Road, Bandra West, Mumbai, Maharashtra 400050, India",,Closed ⋅ Opens 7 AM,https://lh3.googleusercontent.com/gps-cs-s/AC9h4nqyNgCfPAlHKQ_l9YDjlMEFr6l68KUbN2F_reheZy-oJbkub_AdaTiwX93WqEShokzVs3kRfztPvguzDSIeCxylUS5oBrhhuS2ALJrmD5tIv9IAHcwrsQ6B63C7CLrcsSWM0sorfg=w80-h106-k-no,http://www.boojeecafe.com/
080500 03493,72.8237114,0,4.8,6,1305,Third Wave Coffee,Cafe,18.9148661,"Ground Floor, Star Mansion, Plot No 66, Wodehouse Rd, Cuffe Parade, Mumbai, Maharashtra 400005, India",,,https://lh3.googleusercontent.com/gps-cs-s/AC9h4npdlLfB_Bi1wnzZqwo2umQKutfEDMeCm2xCLhEiMc2U97BhtxIp3tKadn_trq_C9-M-chJ1Dif9ynE6h-nBI6rATzc3ofp4X5Xfi3obpU1gzXV_W0nIFWeFMIoDl0WXgXjSobe37Q=w80-h106-k-no,https://stores.thirdwavecoffeeroasters.com/store-pages/third-wave-coffee-cuffe-parade-mumbai/
096209 51522,72.8259997,0,4.7,7,1088,Third Wave Coffee,Cafe,19.1059669,"Gate B, 27, Juhu Rd, opposite Prithivi Theatre, Janki Kutir, Juhu, Mumbai, Maharashtra 400049, India",,Closed ⋅ Opens 8 AM,https://lh3.googleusercontent.com/gps-cs-s/AC9h4nqMAMFJ4GRUDWWRcW4efA1MefgG00af3ytVy9bmXDQDMO64JnTbpdoMhQuapFMmNgDqevu0iluOEnXvwSo6Afva9XJgFKzD-FtxTit5iwnfYFf09u6hzCr33iiOCZYgw9-tQCnf=w80-h106-k-no,https://stores.thirdwavecoffeeroasters.com/store-pages/third-wave-coffee-juhu-mumbai/
080957 99880,72.8462018,0,4.7,8,1499,Third Wave Coffee,Cafe,19.0408896,"Unit no.58, Ground, Ram Mahal, Tip Road, Senapati Bapat Marg, Station, Mahim, Mumbai, Maharashtra 400016, India",,Closed ⋅ Opens 8 AM,https://lh3.googleusercontent.com/gps-cs-s/AC9h4nqJ7kbNxBXJWp_Hisj_wZA05n8ZmJJakJOugyNF8zYbfYzqtMh186cI8drgp3BTgnlUMdTkkBi2Vnvejq0clSNZ7nPD9iL-DLBtUWtdyfZjqOBp0FNs7pJDrJ6rSp6lCR4u4teVtA=w198-h92-k-no,https://stores.thirdwavecoffeeroasters.com/store-pages/third-wave-coffee-mahim-mumbai/
089048 74344,72.8765556,0,4.9,9,448,Third Wave Coffee,Cafe,19.0718611,"Equinox Tower 3, Lal Bahadur Shastri Road, Road, off BKC, Ambedkar Nagar, Kurla, Mumbai, Maharashtra 400070, India",,Closed ⋅ Opens 7:30 AM,https://lh3.googleusercontent.com/gps-proxy/ALd4DhEfprHudrRB3YcCsrCp-P03NdIUPYh_zCWHUuWQG7ey8CNMf3WrxjDJXklX-i0n-mKz2C5kaTOM1oKGq2HXFes_WLT6EjlgNoCEGwvHIfoiWU6UUb8hATMNSWV44zzZ5cMWKyo8WQMRQr86vy7iNR-GjtyJHIl-OshOzQn_rpvne6VWVzbV4TDU=w82-h92-k-no,https://stores.thirdwavecoffeeroasters.com/store-pages/third-wave-coffee-equinox-bkc-mumbai/
080957 99883,72.91640869999999,0,4.8,10,851,Third Wave Coffee,Cafe,19.1001618,"R City Mall, G 73A, Lal Bahadur Shastri Marg, Amrut Nagar, Ghatkopar West, Mumbai, Maharashtra 400086, India",,Closed ⋅ Opens 11 AM,https://lh3.googleusercontent.com/gps-cs-s/AC9h4nrXH3i0pRBgBw34XpRu-T7THZPvDEDWaYVgZvmLA2xxSeEbl3tcPvKiqc-ks9-VAIbgL_YDypgk2mTPs9U0aeZ_pCjE5x0oILAV66Q4a-fRtbQ6e2wYCiNd3-nvmHwQThjTKuQ=w85-h92-k-no,https://stores.thirdwavecoffeeroasters.com/store-pages/third-wave-coffee-r-city-mall-mumbai/
083558 05500,72.830873,0,4.3,11,439,Bokka Coffee,Coffee shop,19.0656334,"Shop no. 6 and 7, Silver Croft, 16th Rd, near Khane Khas, Bandra West, Mumbai, Maharashtra 400050, India",,Closed ⋅ Opens 8 AM,https://lh3.googleusercontent.com/gps-cs-s/AC9h4nqg_Wd-BIG9iUxkyUlK7eK7DlEQ0vCXZ0io8rEeQZk-biUB793SStactU2oqd50ZkGtPW5thRTmWCk5ZMbBmolZvnW29B5qtbSK9M7ssa-LV5CtEsqchejyLmSdmP5Md__Dowh6=w80-h106-k-no,
090825 66400,72.8243282,0,4.4,12,1457,Blue Tokai Coffee Roasters | Bandra,Cafe,19.0603995,"Shop No 1, No 33, Mayflower Building Perry Road, New Kantwadi Rd, Bandra West, Mumbai, Maharashtra 400050, India",,Closed ⋅ Opens 7 AM,https://lh3.googleusercontent.com/gps-cs-s/AC9h4npDvAGzWBHoZ2d7BeMuwsLuWw_eHEjqIZt3TNfukiXMkxJyiD_ABLP5Q5FJUgrVF_kFnIlse95gvc4soL8WUJZqF-UgnW8xeTsrnjNQGybo9NgC_zTV-MKfbBv3u7SaXwPsuvlRsw=w80-h142-k-no,https://stores.bluetokaicoffee.com/blue-tokai-coffee-roasters-bandra-cafe-bandra-west-mumbai-436738/Home?utm_source=locator&utm_medium=googleplaces
085917 45691,72.83001999999999,0,4.3,13,2748,Mary Lodge by Subko,Coffee shop,19.0531629,"Ground Floor, Mary Lodge, 21A, Chapel Rd, next to Saba Heritage building, Ranwar, Bandra West, Mumbai, Maharashtra 400050, India",,Closed ⋅ Opens 7:30 AM,https://lh3.googleusercontent.com/gps-cs-s/AC9h4nrqF9ox_o-QHdqSJQNwQhQ9uZDoEoiCII13Up7o3Hj1lWseMP4RsHjLKQWWow9UE4A-XdwsceMy-oqvpTSWO8skCLir5TPH56BubCuaZ82PlJDxLjUgyPu8DWuaXIHXYllq4X8c=w122-h92-k-no,http://www.subko.coffee/
081477 70571,72.85206,0,4.5,14,552,Third Wave Coffee,Cafe,19.10875,"178, Ground, Vilco Center, Subhash Rd, opposite Garware House, Victory Society, Navpada, Vile Parle East, Vile Parle, Mumbai, Maharashtra 400057, India",,Closed ⋅ Opens 7 AM,https://lh3.googleusercontent.com/gps-cs-s/AC9h4noxk27d1CeapJ6l6WKBgHDYzCAA2zI7RLFbwmHJ-oEOMZl9Px9809uHyxjbbmrOULP5-gWW8UNqteu58l5dvOMuVfxeGzBWiN-5vBwu17yZanAs6gPM-dv0UDAQYra6_8V_OU44TA=w80-h106-k-no,https://stores.thirdwavecoffeeroasters.com/store-pages/third-wave-coffee-vile-parle-mumbai/
022 4003 4931,72.9202404,2,4.6,15,345,Bombay Island Coffee Company | Vikhroli,Cafe,19.0931492,"GODREJ ONE, Shop #4, Tower C, Retail Street, The Trees, Pirojshanagar, Vikhroli, Mumbai, Maharashtra 400079, India",,Closed ⋅ Opens 8 AM,https://lh3.googleusercontent.com/gps-cs-s/AC9h4nqCw4EWzzSQV9QkB3fZjvevJ_nsoabd8AK3KOSqi8GBhJWWUgzmssNA_yKs09sXnLCivIKJ5mlviWEbK5GYb-qvnznbQcsAjVHFMuajH20Gk72vlZXYkavyRuVOEJi_aGUBePqt=w122-h92-k-no,https://www.bombayisland.com/
089048 11574,72.86830379999999,0,4.7,16,215,Third Wave Coffee,Cafe,19.0683661,"Ground Floor, Platina, C-59, G Block, Bandra Kurla Complex, Bandra East, Mumbai, Maharashtra 400098, India",,Closed ⋅ Opens 8 AM,https://lh3.googleusercontent.com/gps-proxy/ALd4DhE8lqmYlDuKpcIlncGGtt8ZEKHj3JtZlDAKG5HyjD8VmqS_LDJsWnTkBLTjjfnEAmS6pq8TWKL6n9RlVunFWCYSF4Av2Pc6Cn_sc7BFQDi-TXv2d9MUWEVCUvogPoApXHRaEruQthkIyUPruw1JC4jJzEjbvQ-cXl8ihIpmZ6FD-5jcJwK7illrcQ=w138-h92-k-no,https://stores.thirdwavecoffeeroasters.com/store-pages/third-wave-coffee-platina-mall-mumbai/
098198 20211,72.8243296,0,4.5,17,422,Iteeha Coffee,Cafe,18.9881865,"Ground Floor, Urmi Axis Building, West, behind Famous studio, opp. Doctor Elijah Moses Road, Mahalakshmi, Mumbai, Maharashtra 400011, India",,Closed ⋅ Opens 7:30 AM,https://lh3.googleusercontent.com/p/AF1QipPtbt18IiOfRh-HjlOx0I4yQXld74ts3FXSZ_ND=w122-h92-k-no,https://iteeha.coffee/
084509 25026,72.8406353,0,4.5,18,982,Bombay Coffee House Fort,Coffee shop,18.9359545,"WRPR+34C, 3, SS Ram Gulam Marg, Ballard Estate, Fort, Mumbai, Maharashtra 400001, India",,Closed ⋅ Opens 9 AM,https://lh3.googleusercontent.com/gps-cs-s/AC9h4no3B1h7X7h1cbIXclCZJqaNBZfWyyWn9urzPmjlDpunVmHkgG7XMN-sXOTweTuHSQKGk3ttRfQjNNPi3qubwtltFEB3lHm_1ujFKzJ-KetDJG81RD_1Eg8Zeuy654M_OAAPqroRgg=w80-h106-k-no,https://bombaycoffeehouse.com/
070459 40218,72.8257094,0,4.4,19,18864,Prithvi Cafe,Cafe,19.1061292,"Apartment, Alongside, Prithvi Theatre, 20, Juhu Rd, Janki Kutir, Juhu, Mumbai, Maharashtra 400049, India","Bustling cafe with light fare & snacks. Energetic hangout offering light cafe fare & desserts, plus an outdoor garden with hanging lanterns.",Closed ⋅ Opens 10:30 AM,https://lh3.googleusercontent.com/gps-cs-s/AC9h4nrLZyGugF6JZJbnhJ97Ex_FQOyplwydAcnCJQmbE4q5TMuCado9XjiGYnM9_SpHh3oohbEPlIzPG1fU4UHQfrjzYkGcOm3ibcrx6eEbTKL_2AV8Xyj2Yq0w4BvyMNmkRDvwMaPm2w=w86-h92-k-no,
085858 28201,72.83166589999999,3,4.2,20,30806,Leopold Cafe,Cafe,18.9227947,"Police Station, Shahid Bhagat Singh Road, Colaba Causeway, near Colaba, Mumbai, Maharashtra 400001, India","Easygoing cafe & bar established in 1871. This old-school cafe/bar dating to 1871 serves Continental, Chinese & Indian snacks, plus cocktails.",Closes soon ⋅ 12:30 AM ⋅ Reopens 7:30 AM,https://lh3.googleusercontent.com/gps-cs-s/AC9h4nrh7lJl2UBQ8PbZ-fmxtwBMrge5HfoF9VXcwMdSkoZnGFaSzhLEbml2TkQdeswP1lr5a50rreMlqwPKzVhfPfh-hY0_rBeebu1GGMUisGgewixvhhdhnbYQbktLaXhwqreYVWHoAocJEBs=w122-h92-k-no,
080500 03493,72.8237114,0,4.8,1,1305,Third Wave Coffee,Cafe,18.9148661,"Ground Floor, Star Mansion, Plot No 66, Wodehouse Rd, Cuffe Parade, Mumbai, Maharashtra 400005, India",,,https://lh3.googleusercontent.com/gps-cs-s/AC9h4npdlLfB_Bi1wnzZqwo2umQKutfEDMeCm2xCLhEiMc2U97BhtxIp3tKadn_trq_C9-M-chJ1Dif9ynE6h-nBI6rATzc3ofp4X5Xfi3obpU1gzXV_W0nIFWeFMIoDl0WXgXjSobe37Q=w80-h106-k-no,https://stores.thirdwavecoffeeroasters.com/store-pages/third-wave-coffee-cuffe-parade-mumbai/
077180 42147,72.83475849999999,2,4.2,2,3130,Bombay Coffee House,Cafe,19.0632296,"Neelkamal Building, 248, Waterfield Road, opposite National College, Khar, Bandra West, Mumbai, Maharashtra 400050, India",,Closed ⋅ Opens 9 AM,https://lh3.googleusercontent.com/gps-cs-s/AC9h4npU8Ksj-uSt75ofZdW6V83VC_kpTqY2Wg1hTRSuL8C_2IIVPNCkMaZA1THPLLfQWG0bNRhPyW-7THGjv2nXjw90aje6lQ2UJytmo3z3QAqWpFJY7W8WX6KwdUPzQDcF_Dw_OCXH=w122-h92-k-no,https://bombaycoffeehouse.com/
091366 50277,72.82637989999999,0,4.5,3,717,KCROASTERS By Koinonia,Coffee shop,19.0731907,"6, Chuim Village Rd, Khar, Chuim Village, Danda, Khar West, Mumbai, Maharashtra 400052, India","Cozy spot for coffee & vegan drinks. Organic coffee roasted on site, offered with snacks & vegan drinks in a cozy, wood-lined space.",Closed ⋅ Opens 7 AM,https://lh3.googleusercontent.com/p/AF1QipM2Sk29ZjO73wDvEdnVKT2G52E_9fW_nJATv4bt=w80-h100-k-no,http://kcroasters.com/
097699 98972,72.8134334,2,4.6,4,2190,Leaping Windows,Coffee shop,19.1387357,"Corner View, 3, Dr.Ashok Chopra Marg, opp. Bianca Towers, Amit Nagar, Versova, Andheri West, Mumbai, Maharashtra 400061, India","Quirky joint for cafe fare & comic books. Playful cafe with a clever menu & patio, plus a library of comic books, graphic novels & manga.",Closes soon ⋅ 12:30 AM ⋅ Reopens 12 PM,https://lh3.googleusercontent.com/gps-cs-s/AC9h4nqlblnJiLbYdeLgLVLnzy8DMyKiHvrTME83xuSsCK_mgWEsyTYkprrYL8v5AeRZjaMFP2xF9wKofkUEcrE3IYnqJT8P78CHF5PJMwy0WMNH6QOnxI2jamZO6ZqdtEy4uiRUJKeBQQ=w80-h106-k-no,http://www.leapingwindows.com/
099302 03882,72.824591,0,4.5,5,4217,Boojee Cafe,Cafe,19.0606827,"Shop No 6, 29, New Kantwadi Rd, off Perry Cross Road, Bandra West, Mumbai, Maharashtra 400050, India",,Closed ⋅ Opens 7 AM,https://lh3.googleusercontent.com/gps-cs-s/AC9h4nqyNgCfPAlHKQ_l9YDjlMEFr6l68KUbN2F_reheZy-oJbkub_AdaTiwX93WqEShokzVs3kRfztPvguzDSIeCxylUS5oBrhhuS2ALJrmD5tIv9IAHcwrsQ6B63C7CLrcsSWM0sorfg=w80-h106-k-no,http://www.boojeecafe.com/
080500 03543,72.8137461,0,4.6,6,553,Third Wave Coffee,Cafe,18.9553867,"Plot No 29, Dr N A Purandare Marg Chowpatty Marine Lines, Girgaon, Mumbai, Maharashtra 400007, India",,Closes soon ⋅ 1 AM ⋅ Reopens 7 AM,https://lh3.googleusercontent.com/gps-cs-s/AC9h4nq7vqhMYW5opRIjrHURFNODqJH-PN4LAvilJyaubajFO8EC4mYAa7YqM6eIfErTgD3m_GU-auqQqq24Rp5tuqznbSEppJZMNhKRIh68Rsbgw2FBODzo55hre5mY9NSjUZU0R-lB6A=w80-h106-k-no,https://cafe.thirdwavecoffee.in/coffee-cafe-mumbai-32255/home?utm_source=gmb
022 4003 4931,72.9202404,2,4.6,7,345,Bombay Island Coffee Company | Vikhroli,Cafe,19.0931492,"GODREJ ONE, Shop #4, Tower C, Retail Street, The Trees, Pirojshanagar, Vikhroli, Mumbai, Maharashtra 400079, India",,Closed ⋅ Opens 8 AM,https://lh3.googleusercontent.com/gps-cs-s/AC9h4npdMB1cdkBmUJ61jhLNnOaN5g2vBZsIJKaGVLrMqKRMKe_jwDJa_kQwP82I7q-2BY-3qGYnRZ6iGOOT7oNVtDakTv-0EK0Q_OnbIeQVuSBwmTq1jsy7om1B0lMry1vpJsiW1rbR=w122-h92-k-no,https://www.bombayisland.com/
081477 38399,72.8079259,0,4.8,8,719,Third Wave Coffee,Cafe,18.963473,"CrossWord Bookstore, Kemps Corner Flyover, Babulnath, Kemps Corner, Tardeo, Mumbai, Maharashtra 400026, India",,Closed ⋅ Opens 10 AM,https://lh3.googleusercontent.com/gps-cs-s/AC9h4non1snSlLcL84yXhxkLqRR16UiPXp5qADNaePtFJc_4zZh62arfE7Fa2ZMp_MFalUBNGNOmy6hZmH-CUU8avtJP35hFzDOSATerMZpVBhbaJEPRQ5A79iwmmMMpFgPs6K-lLBmB=w92-h92-k-no,https://stores.thirdwavecoffeeroasters.com/store-pages/third-wave-coffee-kemps-corner-mumbai/
089048 11574,72.86830379999999,0,4.7,9,215,Third Wave Coffee,Cafe,19.0683661,"Ground Floor, Platina, C-59, G Block, Bandra Kurla Complex, Bandra East, Mumbai, Maharashtra 400098, India",,Closed ⋅ Opens 8 AM,https://lh3.googleusercontent.com/p/AF1QipOWeoK6swaXzLtAzOABxMjSPur5p2R3mjrKIFda=w163-h92-k-no,https://stores.thirdwavecoffeeroasters.com/store-pages/third-wave-coffee-platina-mall-mumbai/
098198 20211,72.8243296,0,4.5,10,422,Iteeha Coffee,Cafe,18.9881865,"Ground Floor, Urmi Axis Building, West, behind Famous studio, opp. Doctor Elijah Moses Road, Mahalakshmi, Mumbai, Maharashtra 400011, India",,Closed ⋅ Opens 7:30 AM,https://lh3.googleusercontent.com/p/AF1QipPtbt18IiOfRh-HjlOx0I4yQXld74ts3FXSZ_ND=w122-h92-k-no,https://iteeha.coffee/
084509 25026,72.8406353,0,4.5,11,982,Bombay Coffee House Fort,Coffee shop,18.9359545,"WRPR+34C, 3, SS Ram Gulam Marg, Ballard Estate, Fort, Mumbai, Maharashtra 400001, India",,Closed ⋅ Opens 9 AM,https://lh3.googleusercontent.com/gps-cs-s/AC9h4nrkYfYIsnL_4tcMZAVxQ4TgPZcHoyhIS8tLZjods-QH0yc8oOlT0Se1OB7B_QswFJdYVLfL4fXWuTfS6xHG7VILBOKYbpgvkjXdrJp7VQX9CecGc16LO_YBLyOu8lSU1hVT03iVeg=w80-h142-k-no,https://bombaycoffeehouse.com/
085917 45691,72.83001999999999,0,4.3,12,2748,Mary Lodge by Subko,Coffee shop,19.0531629,"Ground Floor, Mary Lodge, 21A, Chapel Rd, next to Saba Heritage building, Ranwar, Bandra West, Mumbai, Maharashtra 400050, India",,Closed ⋅ Opens 7:30 AM,https://lh3.googleusercontent.com/gps-cs-s/AC9h4nrqF9ox_o-QHdqSJQNwQhQ9uZDoEoiCII13Up7o3Hj1lWseMP4RsHjLKQWWow9UE4A-XdwsceMy-oqvpTSWO8skCLir5TPH56BubCuaZ82PlJDxLjUgyPu8DWuaXIHXYllq4X8c=w122-h92-k-no,http://www.subko.coffee/
070459 40218,72.8257094,0,4.4,13,18864,Prithvi Cafe,Cafe,19.1061292,"Apartment, Alongside, Prithvi Theatre, 20, Juhu Rd, Janki Kutir, Juhu, Mumbai, Maharashtra 400049, India","Bustling cafe with light fare & snacks. Energetic hangout offering light cafe fare & desserts, plus an outdoor garden with hanging lanterns.",Closed ⋅ Opens 10:30 AM,https://lh3.googleusercontent.com/gps-cs-s/AC9h4nrLZyGugF6JZJbnhJ97Ex_FQOyplwydAcnCJQmbE4q5TMuCado9XjiGYnM9_SpHh3oohbEPlIzPG1fU4UHQfrjzYkGcOm3ibcrx6eEbTKL_2AV8Xyj2Yq0w4BvyMNmkRDvwMaPm2w=w86-h92-k-no,
022 6882 8656,72.877702,0,4.6,14,2478,JW Cafe,Coffee shop,19.103168,"Chhatrapati Shivaji International Airport Area, Navpada, Vile Parle East, Vile Parle, Mumbai, Maharashtra 400099, India",Upscale multi-cuisine restaurant. Lively restaurant in an upscale hotel offering multi-cuisine fare in sophisticated surrounds.,Closed ⋅ Opens 6:30 AM,https://lh3.googleusercontent.com/gps-cs-s/AC9h4npBR0JmI8OM7lU1iB03nyFGip2hVWIKHxOMwi01o_DE8_FIvsimXgw-87y2s4j-NUiCz4UxOIsl7qLXZykitbCmAHpo3rPdyWFceYYtY6C6-dQ4ra3y7BSMHFuw1GynM04OizW8Ew=w122-h92-k-no,http://www.jwmumbai.com/
086558 05815,72.82750039999999,0,4.6,15,406,Ettarra Coffee House,Cafe,19.1011624,"Ground Floor, boutique hotel, Juhu residency, Juhu Tara, Juhu, Mumbai, Maharashtra 400049, India",,Open ⋅ Closes 2 AM ⋅ Reopens 7 AM,https://lh3.googleusercontent.com/gps-proxy/ALd4DhEgVeSyMZrjT27r1FiA38XVdowcqveIc8SU3BJWvSYdqf40nwFq936hcD18rvtKP5Yg4iufzzdGfqx_M8hotruBAq89KR1pHjocPE36QP-XKTQb8VBTsObBYo-AcNN38vB99bCfj7lFGruzqIfiDmIrHxJ6eNI3fjt08Yf00Ct8xjBDgmJGOPM=w122-h92-k-no,https://ettarracoffee.in/
077384 46788,72.88118109999999,0,4.6,16,2758,Bombay To Barcelona Library Cafe,Cafe,19.1094204,"Timmy Arcade, 778, Makwana Rd, Gamdevi, Marol, Andheri East, Mumbai, Maharashtra 400059, India",,Closed ⋅ Opens 10 AM,https://lh3.googleusercontent.com/gps-cs-s/AC9h4nrtfmkzxET8qi_9M-9NIdhtZ--NTjAIG8o0HZpZ71N7VbOm00lxH7ar0y5P_RIvlzfTjFxeBZ1CBSA6r_VC8Ji0aMNf6noDyB98Dj6ujT8qQLa_LBLT_Tkv5cIYFm4ZmqYJr0cg=w138-h92-k-no,http://www.bombaytobarcelonalibrarycafe.com/
081049 89927,72.8123492,0,4.3,17,1354,Blue Tokai Coffee Roasters | Versova,Cafe,19.1328358,"Shop No 6, JP Rd, opposite Palm Beach Apartment, Aram Nagar Part 1, Machlimar, Versova, Andheri West, Mumbai, Maharashtra 400061, India",,Closed ⋅ Opens 7 AM,https://lh3.googleusercontent.com/gps-cs-s/AC9h4np1WONk1Jj_ZWQ41xi8-Q7SfQZCn1nprKqrtrRqs3Eg37c_d8jQcJrhtPyKnT5TOTfbnidQ72qfGsyGm0DYRh3lDBNOFqeCFztM-yQx5jIZ7H9zp5KZmMAqOatSHKS2AoyiHd5l7w=w122-h92-k-no,https://stores.bluetokaicoffee.com/blue-tokai-coffee-roasters-versova-cafe-andheri-west-mumbai-447121/Home?utm_source=locator&utm_medium=googleplaces
090818 81844,72.8262503,0,4.8,18,1070,Earth Cafe @ Churchgate,Cafe,18.9301569,"Ground Floor, Ram Mahal, Dinshaw Vacha Rd, near KC College, Churchgate, Mumbai, Maharashtra 400020, India",,Closed ⋅ Opens 8 AM,https://lh3.googleusercontent.com/gps-cs-s/AC9h4nr83ikqVAKU6D5tRQsrof4ycqVmzTneSWbKrVN2d45w--DiGMUDOud_-lkb5ItvJa8AUZ-RWHpO9dlibOhld4_o-3XfDXjfN84PehUm_nIsp_6VuPLXyGLSCwgsQH0SxASu6kCMDAm2BwAo=w80-h106-k-no,http://earthcafeindia.com/
022 6709 9977,72.89974099999999,3,4.4,19,3303,"Le Cafe | Best European Cafe in Chembur, Mumbai",Cafe,19.0615942,"Jewel of chembur, Rd No. 1, opp. Bmc OFFice, near Natraj Cinema, Chembur Gaothan, Chembur, Mumbai, Maharashtra 400071, India","European meals in an informal spot. Casual, light-filled setting offering a European menu & a take-out option, plus happy-hour specials.",Closed ⋅ Opens 10 AM,https://lh3.googleusercontent.com/gps-cs-s/AC9h4no2KIMt77GMdFDMdJ-uSO0L8kBY4vTcJgmzvrE90oSq655dz80ZxpDHxbFM7K_B0bhEtcHDnTHELlBE3eecchRxCGGXf3E_0xYXC1mb9GZLbtiOW-Kd52jgdziawwdLVr7jtp0=w122-h92-k-no,
085858 28201,72.83166589999999,3,4.2,20,30806,Leopold Cafe,Cafe,18.9227947,"Police Station, Shahid Bhagat Singh Road, Colaba Causeway, near Colaba, Mumbai, Maharashtra 400001, India","Easygoing cafe & bar established in 1871. This old-school cafe/bar dating to 1871 serves Continental, Chinese & Indian snacks, plus cocktails.",Closes soon ⋅ 12:30 AM ⋅ Reopens 7:30 AM,https://lh3.googleusercontent.com/gps-cs-s/AC9h4nrh7lJl2UBQ8PbZ-fmxtwBMrge5HfoF9VXcwMdSkoZnGFaSzhLEbml2TkQdeswP1lr5a50rreMlqwPKzVhfPfh-hY0_rBeebu1GGMUisGgewixvhhdhnbYQbktLaXhwqreYVWHoAocJEBs=w122-h92-k-no,
